subject;data_percentage;model;mse;rmse;mae;r2;source_folder;training_duration;final_train_loss;final_val_loss;total_epochs
1;80;CNN;8.18219851523392;2.8604542498061245;1.976492770758856;0.9893911465710168;CNN_subject1_final_training_20250628_044902_with_prediction;2010.7099375724792;67.83141326904297;8.404498100280762;23.0
1;80;CNN10stride;12.192612654769436;3.4917921837889256;2.13591463328506;0.9842600659779184;CNN10stride_subject1_final_training_20250703_220601_with_prediction;1045.7747402191162;68.48483276367188;14.30471897125244;96.0
1;80;Gradient Boosting;25.199795331625523;5.019939773705012;3.093086094906968;0.9676004654471342;Classical_subject1_training_20250628_092041;19.937777996063232;;;
1;80;LSTM;28.633996609023733;5.351074341571395;3.572108458604297;0.9631850913742772;LSTM_subject1_final_training_20250628_112652;2566.7670934200287;47.58868789672852;29.91303253173828;278.0
1;80;LSTMWS;6.778583119680496;2.603571224238065;1.6586855469940889;0.9913909838266484;LSTMWS_subject1_final_training_20250707_132706;4086.581791162491;25.44040870666504;7.052600860595703;63.0
1;80;NRAX;50.547878422005816;7.109703117712146;5.073322809038841;0.935010276394884;NRAX_subject1_final_training_20250628_181014_with_prediction;164.27443170547485;116.60736083984376;51.835575103759766;50.0
1;80;RNN;33.833890882598446;5.816690715741937;4.042988381959485;0.9564995547669026;RNN_subject1_final_training_20250628_185153_with_prediction;1403.260309934616;76.77838134765625;35.35768127441406;73.0
1;80;RNNWS1stride16sequences;8.324622281631136;2.885242153031724;1.872482192557112;0.9894274649149712;RNNWS1stride16sequences_subject1_final_training_20250705_112816_with_prediction;5234.327189207077;58.64373779296875;9.129101753234863;36.0
1;80;Random Forest;26.28791936526634;5.127174598671898;3.0174966477442258;0.966201457567832;Classical_subject1_training_20250628_092041;29.462681770324707;;;
1;80;Voting Regressor;41.72243312787318;6.45929045080597;4.900622155168244;0.946357206637322;Classical_subject1_training_20250628_092041;61.16980743408203;;;
